Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
6/24/2019,Barclays,BARCLAYS - 745 CAFE NEW YORK NY,6.99,debit,Business Services,TOTAL CHECKING,,
6/24/2019,Chase card ending in 9575 06/24,Payment to Chase card ending in,130.52,debit,Credit Card Payment,TOTAL CHECKING,,
6/21/2019,Associates,Online Payment 8352412999 To Ger,2000.0,debit,Mortgage & Rent,TOTAL CHECKING,,
6/21/2019,Venmo Cashout Ppd,VENMO            CASHOUT,105.0,credit,Income,TOTAL CHECKING,,
6/21/2019,CVS,CVS/PHARMACY #10 10298 MANHATTAN,1.4,debit,Pharmacy,TOTAL CHECKING,,
6/21/2019,CVS,CVS/PHARMACY #10 10298 MANHATTAN,9.79,debit,Pharmacy,TOTAL CHECKING,,
6/21/2019,Forever 21,3006 FOREVER 21 NEW YORK NY,6.08,debit,Clothing,TOTAL CHECKING,,
6/20/2019,Time Warner,TWC*TIME WARNER NYC,49.99,debit,Television,CREDIT CARD,,
6/20/2019,QuickPay with Zelle payment to R ICHARD GEE 8349232115,QuickPay with Zelle payment to R,315.0,debit,Credit Card Payment,TOTAL CHECKING,,
6/20/2019,QuickPay with Zelle payment from RICHARD GEE 8350416152,QuickPay with Zelle payment from,100.0,credit,Credit Card Payment,TOTAL CHECKING,,
6/20/2019,"3-AVENUE C SECURE TROY, MI #000000190091","3-AVENUE C SECURE TROY, MI #000000190091",5.07,debit,Fast Food,Investor Checking ...125,,
6/19/2019,QuickPay with Zelle payment from MISPA HAQUE 8348871716,QuickPay with Zelle payment from,70.0,credit,Credit Card Payment,TOTAL CHECKING,,
6/18/2019,Transfer from TOTAL CHECKING,Payment Thank You-Mobile,4.5,credit,Credit Card Payment,CREDIT CARD,,
6/18/2019,Transfer to CREDIT CARD,Payment to Chase card ending in,4.5,debit,Credit Card Payment,TOTAL CHECKING,,
6/18/2019,Transfer,Transfer,38282.84,credit,Investments,Barclays 401(k) Plan,,
6/17/2019,Barclays Bank De,"Barclays Bank De P2P        Gee,",5000.0,credit,Income,TOTAL CHECKING,,
6/17/2019,"LOT 45 347-5059155, NY #00000","LOT 45 347-5059155, NY #00000",62.0,debit,Parking,Investor Checking ...125,,
6/17/2019,SPDR DOW JONES INDUSTRIAL AVRG ETF,SPDR DOW JONES INDUSTRIAL AVRG ETF,0.64,credit,Dividend & Cap Gains,Individual ...852,,
6/14/2019,BARCLAYS BK PLC DIRECT DEP PPD ID: 9111111103,BARCLAYS BK PLC  DIRECT DEP,1705.47,credit,Paycheck,TOTAL CHECKING,,
6/14/2019,BARCLAYS BK PLC DIRECT DEP 190614~ Tran:,BARCLAYS BK PLC DIRECT DEP 190614~ Tran:,100.0,credit,Paycheck,Investor Checking ...125,,
6/14/2019,Payroll Contribution,Payroll Contribution,554.0,credit,Investments,Barclays 401(k) Plan,,
6/13/2019,Venmo,VENMO            PAYMENT    2154,65.0,debit,Transfer,TOTAL CHECKING,,
6/12/2019,Duane Reade,Duane Reade STO 1627 B NEW YORK,1.87,debit,Pharmacy,TOTAL CHECKING,,
6/12/2019,National Grid,NATIONAL GRID NY UTILITYPAY,23.75,debit,Utilities,TOTAL CHECKING,,
6/11/2019,Barclays,BARCLAYS - 745 CAFE NEW YORK NY,5.55,debit,Business Services,TOTAL CHECKING,,
6/10/2019,"NYC FERRY MOBILE 415-438-8311, NY #0000","NYC FERRY MOBILE 415-438-8311, NY #0000",5.5,debit,Public Transportation,Investor Checking ...125,,
6/10/2019,"NYC FERRY MOBILE 415-438-8311, NY #0000","NYC FERRY MOBILE 415-438-8311, NY #0000",5.5,debit,Public Transportation,Investor Checking ...125,,
6/10/2019,QuickPay with Zelle payment from RICHARD GEE 8316470421,QuickPay with Zelle payment from,200.0,credit,Credit Card Payment,TOTAL CHECKING,,
6/10/2019,Dunkin Donuts,DUNKIN #356476 Q35 CORONA NY,5.5,debit,Coffee Shops,TOTAL CHECKING,,
6/10/2019,SCHWAB INTERMEDIATE TERMUS TRS ETF,SCHWAB INTERMEDIATE TERMUS TRS ETF,3.22,debit,Investments,Individual ...852,,
6/09/2019,WWW.CLUBFREETIME.COM,WWW.CLUBFREETIME.COM,4.5,debit,Entertainment,CREDIT CARD,,
6/07/2019,"BOBA GUYS CANANEW YORK, NY #00000019","SQ *BOBA GUYS CANANEW YORK, NY #00000019",5.44,debit,Coffee Shops,Investor Checking ...125,,
6/07/2019,Next Level,"TST* NEXT LEVEL BUBROOKLYN, NY #00000019",14.37,debit,Clothing,Investor Checking ...125,,
6/07/2019,SCHWAB INTERMEDIATE TERMUS TRS ETF,SCHWAB INTERMEDIATE TERMUS TRS ETF,3.22,credit,Dividend & Cap Gains,Individual ...852,,
6/06/2019,"FGC 148 MADISON, LNEW YORK, NY #00000019","FGC 148 MADISON, LNEW YORK, NY #00000019",13.07,debit,Fast Food,Investor Checking ...125,,
6/06/2019,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",8.12,debit,Business Services,Investor Checking ...125,,
6/06/2019,"3-AVENUE C SECURE TROY, MI #000000190021","3-AVENUE C SECURE TROY, MI #000000190021",2.59,debit,Fast Food,Investor Checking ...125,,
6/06/2019,CHASE 8 CHATHAM SQUARE NEW YORK,CHASE 8 CHATHAM SQUARE NEW YORK,43.0,debit,Mortgage & Rent,Investor Checking ...125,,
6/06/2019,Transfer to CREDIT CARD,Payment to Chase card ending in,19.99,debit,Credit Card Payment,TOTAL CHECKING,,
6/06/2019,Chase card ending in 9816 06/06,Payment to Chase card ending in,1729.48,debit,Credit Card Payment,TOTAL CHECKING,,
6/06/2019,Chase card ending in 9575 06/06,Payment to Chase card ending in,64.03,debit,Credit Card Payment,TOTAL CHECKING,,
6/06/2019,Transfer from TOTAL CHECKING,Payment Thank You-Mobile,19.99,credit,Credit Card Payment,CREDIT CARD,,
6/05/2019,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",6.48,debit,Business Services,Investor Checking ...125,,
6/05/2019,Popcorn,"SQ *POPCORN FOR THNew York, NY #00000019",12.0,debit,Clothing,Investor Checking ...125,,
6/03/2019,Duane Reade,Duane Reade STO 1657 BR NEW YORK,29.98,debit,Pharmacy,Investor Checking ...125,,
6/03/2019,JINS FRENCH CLEANERS MANHATTAN,JINS FRENCH CLEANERS MANHATTAN,23.25,debit,Laundry,Investor Checking ...125,,
6/02/2019,NYSC BAY RIDGE,NYSC BAY RIDGE,19.99,debit,Gym,CREDIT CARD,,
6/01/2019,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",8.91,debit,Business Services,Investor Checking ...125,,
5/31/2019,ATM Fee Rebate,ATM Fee Rebate,6.0,credit,ATM Fee,Investor Checking ...125,,
5/31/2019,SABON 1371 6TH AVE NEW YORK,SABON 1371 6TH AVE NEW YORK,29.4,debit,Restaurants,Investor Checking ...125,,
5/31/2019,Interest Paid,Interest Paid,0.12,credit,Interest Income,Investor Checking ...125,,
5/31/2019,BARCLAYS BK PLC DIRECT DEP PPD ID: 9111111103,BARCLAYS BK PLC  DIRECT DEP,1555.67,credit,Paycheck,TOTAL CHECKING,,
5/31/2019,BARCLAYS BK PLC DIRECT DEP 190531~ Tran:,BARCLAYS BK PLC DIRECT DEP 190531~ Tran:,100.0,credit,Paycheck,Investor Checking ...125,,
5/31/2019,Payroll Contribution,Payroll Contribution,554.0,credit,Investments,Barclays 401(k) Plan,,
5/30/2019,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",9.1,debit,Business Services,Investor Checking ...125,,
5/30/2019,CHASE 6694 FRESH POND R RIDGEWOOD,CHASE 6694 FRESH POND R RIDGEWOOD,103.0,debit,Restaurants,Investor Checking ...125,,
5/30/2019,Consolidated Edison,CON ED OF NY     INTELL CKPPD ID: 2462467002,51.37,debit,Utilities,TOTAL CHECKING,,
5/29/2019,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",5.17,debit,Business Services,Investor Checking ...125,,
5/29/2019,PAYPAL TRANSFER PPD ID: PAYPALSD11,PAYPAL           TRANSFERPPD ID: PAYPALSD11,10.0,credit,Transfer,TOTAL CHECKING,,
5/28/2019,"NYC FERRY MOBILE 415-438-8311, NY #0000","NYC FERRY MOBILE 415-438-8311, NY #0000",2.75,debit,Public Transportation,Investor Checking ...125,,
5/28/2019,"JUICE BOX WINE ANDBROOKLYN, NY #00000019","JUICE BOX WINE ANDBROOKLYN, NY #00000019",19.58,debit,Alcohol & Bars,Investor Checking ...125,,
5/28/2019,"NYC FERRY MOBILE 415-438-8311, NY #0000","NYC FERRY MOBILE 415-438-8311, NY #0000",5.5,debit,Public Transportation,Investor Checking ...125,,
5/28/2019,Venmo,VENMO            PAYMENT    2094601355      WEB ID: 3264681992,19.1,debit,Transfer,TOTAL CHECKING,,
5/28/2019,QuickPay with Zelle payment from RICHARD GEE 8268530635,QuickPay with Zelle payment fromRICHARD GEE 8268530635,475.0,credit,Credit Card Payment,TOTAL CHECKING,,
5/28/2019,Venmo,VENMO            PAYMENT    2097878632      WEB ID: 3264681992,10.5,debit,Transfer,TOTAL CHECKING,,
5/28/2019,Venmo,VENMO            PAYMENT    2090511353      WEB ID: 3264681992,40.0,debit,Transfer,TOTAL CHECKING,,
5/25/2019,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",7.76,debit,Business Services,Investor Checking ...125,,
5/24/2019,"SHON 45 WINE SPIRNEW YORK, NY #00000019","SHON 45 WINE SPIRNEW YORK, NY #00000019",11.97,debit,Alcohol & Bars,Investor Checking ...125,,
5/24/2019,Chase card ending in 9816 05/24,Payment to Chase card ending in9816 05/24,1000.0,debit,Credit Card Payment,TOTAL CHECKING,,
5/23/2019,ATM Fee,CHASE 231 GRAND ST NEW YORK,3.0,debit,ATM Fee,Investor Checking ...125,,
5/23/2019,CHASE 231 GRAND ST NEW YORK,CHASE 231 GRAND ST NEW YORK,40.0,debit,Cash & ATM,Investor Checking ...125,,
5/23/2019,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",3.81,debit,Business Services,Investor Checking ...125,,
5/22/2019,Bouchon Bakery,"BOUCHON BAKERY ROCNEW YORK, NY #00000019",4.08,debit,Coffee Shops,Investor Checking ...125,,
5/22/2019,Duane Reade,Duane Reade STO 1657 BR NEW YORK,12.21,debit,Pharmacy,Investor Checking ...125,,
5/22/2019,Associates,Online Payment 8255829062 To Gerel Associates 05/22,2000.0,debit,Mortgage & Rent,TOTAL CHECKING,,
5/21/2019,Venmo,VENMO            PAYMENT    2075032229      WEB ID: 3264681992,5.0,debit,Transfer,TOTAL CHECKING,,
5/21/2019,Wine & Liquors,MCGOVERN WINE-LIQUOR ST BROOKLYN,27.19,debit,Alcohol & Bars,Investor Checking ...125,,
5/20/2019,Transfer from TOTAL CHECKING,Payment Thank You-Mobile,49.99,credit,Credit Card Payment,CREDIT CARD,,
5/20/2019,ATM WITHDRAWAL 007304 05/187427 5TH,ATM WITHDRAWAL007304  05/187427 5TH,700.0,debit,Cash & ATM,TOTAL CHECKING,,
5/20/2019,Chase card ending in 9575 05/20,Payment to Chase card ending in9575 05/20,197.66,debit,Credit Card Payment,TOTAL CHECKING,,
5/20/2019,Transfer to CREDIT CARD,Payment to Chase card ending in1097 05/20,49.99,debit,Credit Card Payment,TOTAL CHECKING,,
5/20/2019,"YAYA TEA G NEW YORK, NY #00000019","SQ *YAYA TEA G NEW YORK, NY #00000019",8.25,debit,Coffee Shops,Investor Checking ...125,,
5/19/2019,Carvel,"CARVEL #2707 BROOKLYN, NY #00000019",25.0,debit,Fast Food,Investor Checking ...125,,
5/18/2019,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",5.55,debit,Business Services,Investor Checking ...125,,
5/17/2019,JINS FRENCH CLEANERS MANHATTAN,JINS FRENCH CLEANERS MANHATTAN,18.25,debit,Laundry,Investor Checking ...125,,
5/16/2019,Deals,DEALS 28 W 116TH ST NEW YORK,6.53,debit,Shopping,Investor Checking ...125,,
5/16/2019,Barclays,"BARCLAYS - 745 CAFNEW YORK, NY #00000019",2.3,debit,Business Services,Investor Checking ...125,,
5/16/2019,"UNIQLO NY 5TH AVE NEW YORK, NY #00000019","UNIQLO NY 5TH AVE NEW YORK, NY #00000019",23.7,debit,Clothing,Investor Checking ...125,,
5/16/2019,BANK INT 041619-051519 SCHWAB BANK,BANK INT 041619-051519 SCHWAB BANK,0.17,credit,Investments,Individual ...852,,
5/15/2019,Venmo,VENMO            PAYMENT    2054447399      WEB ID: 3264681992,75.0,debit,Transfer,TOTAL CHECKING,,
5/15/2019,BARCLAYS BK PLC DIRECT DEP PPD ID: 9111111103,BARCLAYS BK PLC  DIRECT DEPPPD ID: 9111111103,1705.47,credit,Paycheck,TOTAL CHECKING,,
5/15/2019,BARCLAYS BK PLC DIRECT DEP 190515~ Tran:,BARCLAYS BK PLC DIRECT DEP 190515~ Tran:,100.0,credit,Paycheck,Investor Checking ...125,,
5/15/2019,Payroll Contribution,Payroll Contribution,554.0,credit,Investments,Barclays 401(k) Plan,,
5/14/2019,Time Warner,TWC*TIME WARNER NYC,49.99,debit,Television,CREDIT CARD,,
5/14/2019,Transfer from TOTAL CHECKING,Online Transfer from CHK ...2772transaction#: 8229158247,25.0,credit,Transfer,CHASE SAVINGS,,
5/14/2019,Transfer to CHASE SAVINGS,Online Transfer to SAV ...4866 transaction#: 8229158247 05/14,25.0,debit,Transfer,TOTAL CHECKING,,
5/14/2019,ATM WITHDRAWAL 003047 05/141251 AVEN,ATM WITHDRAWAL003047  05/141251 AVEN,400.0,debit,Cash & ATM,TOTAL CHECKING,,
5/13/2019,VENMO CASHOUT PPD ID: 5264681992,VENMO            CASHOUTPPD ID: 5264681992,21.0,credit,Income,TOTAL CHECKING,,
5/13/2019,VENMO CASHOUT PPD ID: 5264681992,VENMO            CASHOUTPPD ID: 5264681992,805.0,credit,Income,TOTAL CHECKING,,
5/13/2019,Venmo,VENMO            PAYMENT    2042314477      WEB ID: 3264681992,20.0,debit,Transfer,TOTAL CHECKING,,
