"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"6/16/2023","LOCKWOOD STYLE","LOCKWOOD STYLE","53.03","debit","Gift","CREDIT CARD","",""
"6/16/2023","PAYPAL *GRUBHUBFOOD REDPO","PAYPAL *GRUBHUBFOOD REDPO","2.16","debit","Food Delivery","CREDIT CARD","",""
"6/15/2023","FIRST EAGLE INVE PAYROLL","FIRST EAGLE INVE PAYROLL","1286.51","credit","Paycheck","TOTAL CHECKING","",""
"6/15/2023","AGED RESTAURANT","AGED RESTAURANT","86.58","debit","Restaurants","CREDIT CARD","",""
"6/15/2023","Spectrum","Spectrum","24.99","debit","Internet","CREDIT CARD","",""
"6/14/2023","KEY FOOD 1620","KEY FOOD 1620","9.82","debit","Groceries","CREDIT CARD","",""
"6/13/2023","Amazon.com","Amazon.com","13.87","credit","Shopping","CREDIT CARD","",""
"6/13/2023","NATIONAL GRID NY UTILITYPAY","NATIONAL GRID NY UTILITYPAY","24.61","debit","Utilities","TOTAL CHECKING","",""
"6/12/2023","COSTCO WHSE #0243","COSTCO WHSE #0243","104.59","debit","Shopping","CREDIT CARD","",""
"6/12/2023","LYFT   *1 RIDE 06-10","LYFT   *1 RIDE 06-10","25.98","debit","Ride Share","CREDIT CARD","",""
"6/12/2023","VENMO            CASHOUT","VENMO            CASHOUT","200.00","credit","Transfer","TOTAL CHECKING","",""
"6/12/2023","VENMO            CASHOUT","VENMO            CASHOUT","20.00","credit","Transfer","TOTAL CHECKING","",""
"6/12/2023","VENMO            PAYMENT    1027","VENMO            PAYMENT    1027","38.00","debit","Transfer","TOTAL CHECKING","",""
"6/12/2023","VENMO            PAYMENT    1027","VENMO            PAYMENT    1027","200.00","debit","Transfer","TOTAL CHECKING","",""
"6/11/2023","KEY FOOD 1620","KEY FOOD 1620","7.47","debit","Groceries","CREDIT CARD","",""
"6/11/2023","PAYPAL *GRUBHUBFOOD THONG","PAYPAL *GRUBHUBFOOD THONG","35.77","debit","Food Delivery","CREDIT CARD","",""
"6/11/2023","TST* Little Flower","TST* Little Flower","13.06","debit","Restaurants","CREDIT CARD","",""
"6/08/2023","Payment to Chase card ending in","Payment to Chase card ending in","189.77","debit","Credit Card Payment","TOTAL CHECKING","",""
"6/08/2023","SWINGERS CRAZY GOLF","SWINGERS CRAZY GOLF","52.00","debit","Sports","CREDIT CARD","",""
"6/08/2023","Payment Thank You-Mobile","Payment Thank You-Mobile","189.77","credit","Credit Card Payment","CREDIT CARD","",""
"6/08/2023","KEY FOOD 1620","KEY FOOD 1620","18.26","debit","Groceries","CREDIT CARD","",""
"6/06/2023","VENMO            PAYMENT    1027","VENMO            PAYMENT    1027","26.00","debit","Transfer","TOTAL CHECKING","",""
"6/06/2023","LYFT   *3 RIDES 06-04","LYFT   *3 RIDES 06-04","227.30","debit","Ride Share","CREDIT CARD","",""
"6/05/2023","Payment to Chase card ending in","Payment to Chase card ending in","380.62","debit","Credit Card Payment","TOTAL CHECKING","",""
"6/05/2023","PAYPAL *UBER","PAYPAL *UBER","70.08","debit","Ride Share","CREDIT CARD","",""
"6/04/2023","PETZINGERS 2 BROOKLYN","PETZINGERS 2 BROOKLYN","11.97","debit","Alcohol & Bars","Investor Checking ...125","",""
"6/04/2023","Lot Less 15 Astoria","Lot Less 15 Astoria","6.51","debit","Home Supplies","Investor Checking ...125","",""
"6/04/2023","BROADWAY NATURAL ASTORIA","BROADWAY NATURAL ASTORIA","5.28","debit","Groceries","Investor Checking ...125","",""
"6/04/2023","WHOLEFDS MTE #10408","WHOLEFDS MTE #10408","86.37","debit","Groceries","CREDIT CARD","",""
"6/04/2023","LEES FAMILY FARM CORP","LEES FAMILY FARM CORP","16.88","debit","Groceries","CREDIT CARD","",""
"6/04/2023","Payment Thank You-Mobile","Payment Thank You-Mobile","380.62","credit","Credit Card Payment","CREDIT CARD","",""
"6/03/2023","ATM Fee","PAI ISO X822 4TH AVE BROOKLYN","2.25","debit","ATM Fee","Investor Checking ...125","",""
"6/03/2023","PAI ISO X822 4TH AVE BROOKLYN","PAI ISO X822 4TH AVE BROOKLYN","200.00","debit","Cash & ATM","Investor Checking ...125","",""
"6/03/2023","DOLLAR TREE ASTORIA","DOLLAR TREE ASTORIA","2.72","debit","Shopping","Investor Checking ...125","",""
