Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/10/2014,Century Theaters,CENTURY TWENTY ONE #20,30.39,debit,Clothing,CREDIT CARD,,
8/10/2014,Rite Aid,RITE AID STORE 3879,23.32,debit,Pharmacy,CREDIT CARD,,
8/10/2014,MTA,MTA MVM*LEXINGTON AVE -,10.0,debit,Public Transportation,CREDIT CARD,,
8/10/2014,Sephora,SEPHORA 112,178.56,debit,Personal Care,CREDIT CARD,,
8/10/2014,Banana Republic,BANANA REPUBLIC FACTORY 1,251.96,debit,Clothing,CREDIT CARD,,
8/08/2014,Victoria's Secret,VICTORIA'S SECRET #1395,26.5,debit,Clothing,CREDIT CARD,,
8/08/2014,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,313.49,credit,Credit Card Payment,CREDIT CARD,,
8/08/2014,Chase Quickpay Transfer,Chase QuickPay Electronic Transfer 4082922997 from WILSON MAI,400.0,credit,Transfer,TOTAL CHECKING,,
8/08/2014,Transfer to CREDIT CARD,Payment to Chase card ending in2234,313.49,debit,Credit Card Payment,TOTAL CHECKING,,
8/07/2014,Aerosoles,AEROSOLES 024,138.0,debit,Clothing,CREDIT CARD,,
8/07/2014,Armani Exchange,A/X ARMANI EXCHANGE #110,139.98,debit,Clothing,CREDIT CARD,,
8/06/2014,Key Food,KEY FOOD # 1484,12.65,debit,Groceries,CREDIT CARD,,
8/05/2014,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,31.66,credit,Credit Card Payment,CREDIT CARD,,
8/05/2014,People Lounge,PEOPLE LOUNGE,22.86,debit,Alcohol & Bars,CREDIT CARD,,
8/05/2014,Interest,INTEREST PAYMENT,0.05,credit,Interest Income,CHASE SAVINGS,,
8/05/2014,Transfer to CREDIT CARD,Payment to Chase card ending in2234,31.66,debit,Credit Card Payment,TOTAL CHECKING,,
8/05/2014,Chase Quickpay Transfer,Chase QuickPay Electronic Transfer 4075956123 to BRENDA WONG,300.0,debit,Transfer,TOTAL CHECKING,,
8/04/2014,Yummi Thai,YUMMI THAI,31.66,debit,Restaurants,CREDIT CARD,,
8/04/2014,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,148.83,credit,Credit Card Payment,CREDIT CARD,,
8/04/2014,ATM Withdrawal Grand,ATM WITHDRAWAL005052  08/04231 GRAND,120.0,debit,Cash & ATM,TOTAL CHECKING,,
8/04/2014,Transfer to CREDIT CARD,Payment to Chase card ending in2234,148.83,debit,Credit Card Payment,TOTAL CHECKING,,
8/03/2014,MTA,MTA MVM*BAY RIDGE AVENU,10.0,debit,Public Transportation,CREDIT CARD,,
8/03/2014,Atlas Paints Plus,ATLAS PAINTS PLUS INC,96.83,debit,Uncategorized,CREDIT CARD,,One time - redo room
8/03/2014,Circle K,CIRCLES CAFE,11.7,debit,Gas & Fuel,CREDIT CARD,,
7/31/2014,Key Food,KEY FOOD # 1484,15.51,debit,Groceries,CREDIT CARD,,
7/31/2014,Nature Grill,NATURE`S GRILL,14.79,debit,Restaurants,CREDIT CARD,,
7/30/2014,Chase Quickpay Transfer,Chase QuickPay Electronic Transfer 4060916588 to RICHARD GEE,1806.46,debit,Transfer,TOTAL CHECKING,,
7/29/2014,Rite Aid,RITE AID CORP. BROOKLYN NY07/29 Purchase $14.19 Cash Back,44.19,debit,Pharmacy,TOTAL CHECKING,,
7/16/2014,BP,NON-CHASE ATM WITHDRAW141730  07/16BP Paris  Euro,280.69,debit,Gas & Fuel,TOTAL CHECKING,,
7/16/2014,Non Chase ATM,NON-CHASE ATM FEE-WITH,5.0,debit,ATM Fee,TOTAL CHECKING,,
7/08/2014,Act Philosophy Ca,ACT*Philosophy 877-228-4881 CA07/08,45.0,debit,Uncategorized,TOTAL CHECKING,,
7/03/2014,Interest,INTEREST PAYMENT,0.05,credit,Interest Income,CHASE SAVINGS,,
7/03/2014,Venmo Ccd Id,VENMO            PAYMENT    17561554        CCD ID: 2264681992,19.7,debit,Uncategorized,TOTAL CHECKING,,
7/01/2014,Venmo Cashout Ccd,VENMO            CASHOUT    17376750        CCD ID: 1264681992,159.92,credit,Income,TOTAL CHECKING,,
6/30/2014,Non Chase ATM,NON-CHASE ATM WITHDRAW928460  06/29MINAMITSU Yen,508.39,debit,Cash & ATM,TOTAL CHECKING,,
6/30/2014,Non Chase ATM,NON-CHASE ATM FEE-WITH,5.0,debit,ATM Fee,TOTAL CHECKING,,
6/16/2014,Non Chase ATM,NON-CHASE ATM FEE-WITH,5.0,debit,ATM Fee,TOTAL CHECKING,,
6/16/2014,Non Chase ATM,NON-CHASE ATM WITHDRAW001629  06/15Incheon I Won,303.82,debit,Cash & ATM,TOTAL CHECKING,,
6/04/2014,Interest,INTEREST PAYMENT,0.05,credit,Interest Income,CHASE SAVINGS,,
6/04/2014,Barnard Corp Pay,BARNARD          CORP PAY   1419879         CCD ID: 9102740001,1500.0,credit,Income,TOTAL CHECKING,,
6/02/2014,Non Chase ATM,NON-CHASE ATM WITHDRAW600617  06/01CARNARVON HK Dollar,186.02,debit,Cash & ATM,TOTAL CHECKING,,
6/02/2014,Non Chase ATM,NON-CHASE ATM FEE-WITH,5.0,debit,ATM Fee,TOTAL CHECKING,,
5/30/2014,Circle K,CIRCLES CAFE BROOKLYN NY05/29,14.5,debit,Gas & Fuel,TOTAL CHECKING,,
5/29/2014,Rite Aid,RITE AID CORP. BROOKLYN NY878322  05/29,19.5,debit,Pharmacy,TOTAL CHECKING,,
5/29/2014,Check 1001,CHECK 1001,9.06,debit,Check,TOTAL CHECKING,,
5/29/2014,Deposit Id Number,DEPOSIT  ID NUMBER 564558,1900.0,credit,Income,TOTAL CHECKING,,
5/27/2014,MTA,MTA VENDING MACHINES NEW YORK NY770992  05/24,10.0,debit,Public Transportation,TOTAL CHECKING,,
5/27/2014,Ems,EMS #167 NEW YORK NY05/25,30.44,debit,Uncategorized,TOTAL CHECKING,,
5/27/2014,Burger Bistro Brooklyn,THE BURGER BISTRO BROOKLYN NY05/22,17.34,debit,Restaurants,TOTAL CHECKING,,
5/23/2014,Key Food,KEY FOOD # 1484 BROOKLYN NY05/22,12.69,debit,Groceries,TOTAL CHECKING,,
5/21/2014,Michaels,MICHAELS STORES 9025 NEW YORK NY05/20,13.1,credit,Hobbies,TOTAL CHECKING,,
5/21/2014,La Marina,LA MARINA NEW YORK NY05/19,30.0,debit,Uncategorized,TOTAL CHECKING,,
5/21/2014,Njt Pabt,NJT PABT          0917 NEWARK NJ05/20,11.0,debit,Public Transportation,TOTAL CHECKING,,
5/21/2014,Central Market,CENTRAL MARKET NEW YORK NY407914  05/21,6.3,debit,Groceries,TOTAL CHECKING,,
5/19/2014,Barnard Collefe Hlth,BARNARD COLLEFE HLTH NEW YORK NY05/16,15.0,debit,Tuition,TOTAL CHECKING,,
5/19/2014,MTA,MTA VENDING MACHINES NEW YORK NY209240  05/17,10.0,debit,Public Transportation,TOTAL CHECKING,,
5/19/2014,Udon West,UDON WEST NEW YORK NY05/17,33.86,debit,Restaurants,TOTAL CHECKING,,
5/19/2014,Michaels,MICHAELS STORES 9025 NEW YORK NY05/17,20.16,debit,Hobbies,TOTAL CHECKING,,
5/19/2014,Central Market,CENTRAL MARKET NEW YORK NY05/17,1.0,debit,Groceries,TOTAL CHECKING,,
5/19/2014,Nyc Taxi Y,NYC TAXI 2Y45 LONG ISLAND C NY05/17,12.5,debit,Rental Car & Taxi,TOTAL CHECKING,,
5/19/2014,Central Market,CENTRAL MARKET NEW YORK NY05/18,7.45,debit,Groceries,TOTAL CHECKING,,
5/19/2014,MTA,MTA VENDING MACHINES NEW YORK NY583791  05/19,10.0,debit,Public Transportation,TOTAL CHECKING,,
5/16/2014,Venmo Cashout Ccd,VENMO            CASHOUT    13719901        CCD ID: 1264681992,306.04,credit,Income,TOTAL CHECKING,,
5/15/2014,MTA,MTA MVM*110TH ST - CATH NEW YORKNY          05/14,10.0,debit,Public Transportation,TOTAL CHECKING,,
5/15/2014,Ramen Thukpa,RAMEN THUKPA NEW YORK NY05/13,15.03,debit,Restaurants,TOTAL CHECKING,,
5/14/2014,Carvel,CARVEL 914 BROOKLYN NY05/12,5.5,debit,Uncategorized,TOTAL CHECKING,,
5/14/2014,Manhattan Grand Optical,MANHATTAN GRAND OPTICAL NEW YORKNY          05/12,70.0,debit,Eyecare,TOTAL CHECKING,,
5/13/2014,Deposit Id Number,DEPOSIT  ID NUMBER 572922,830.0,credit,Income,TOTAL CHECKING,,
5/13/2014,MTA,MTA MVM*BAY RIDGE AVENU NEW YORKNY          05/12,10.0,debit,Public Transportation,TOTAL CHECKING,,
5/12/2014,MTA,MTA MVM*110TH ST - CATH NEW YORKNY          05/10,10.0,debit,Public Transportation,TOTAL CHECKING,,
5/12/2014,Mist Restaurant Bar,MIST RESTAURANT AND BAR NEW YORKNY          05/10,24.0,debit,Restaurants,TOTAL CHECKING,,
5/12/2014,Apple,APPLE STORE  #R250 NEW YORK NY05/08,20.69,debit,Electronics & Software,TOTAL CHECKING,,
5/12/2014,Circle K,CIRCLES CAFE BROOKLYN NY05/11,20.04,debit,Gas & Fuel,TOTAL CHECKING,,
